Time,Temperature,Roll,Pitch,AccX,AccY,AccZ
0.39,81.43,-1.22,-0.27,-0.01,-0.00,1.00
0.80,81.43,-2.01,-0.43,-0.01,-0.00,1.00
1.20,81.44,-2.43,-0.51,-0.01,-0.00,1.00
1.60,81.44,-2.62,-0.55,-0.01,-0.00,1.00
2.00,81.44,-2.60,-0.52,-0.01,-0.00,1.00
2.40,81.46,-2.54,-0.49,-0.01,-0.00,1.00
2.80,81.46,-2.35,-0.42,-0.01,-0.00,1.00
3.20,81.44,-2.14,-0.32,-0.01,-0.00,1.00
3.60,81.44,-1.89,-0.24,-0.01,-0.00,1.00
4.00,81.44,-1.71,-0.20,-0.01,-0.00,1.00
4.40,81.44,3.86,-0.71,-0.00,0.18,0.97
4.81,81.44,10.08,0.26,0.00,0.61,0.79
5.21,81.44,16.72,-1.06,0.00,0.63,0.76
5.59,81.44,22.32,-1.79,-0.00,0.64,0.76
6.01,81.44,21.99,-1.28,-0.01,0.45,0.87
6.42,81.44,17.43,-1.50,-0.00,0.16,0.98
6.82,81.44,13.03,-1.67,-0.01,-0.01,1.00
7.25,81.44,6.81,-1.84,-0.00,-0.20,0.96
7.64,81.44,-2.80,0.07,-0.00,-0.50,0.87
8.04,81.44,-9.41,-0.71,-0.01,-0.58,0.82
8.47,81.44,-15.94,-1.46,-0.01,-0.64,0.77
8.87,81.44,-21.88,-2.17,0.00,-0.66,0.75
9.27,81.44,-26.88,-2.60,-0.00,-0.66,0.76
9.66,81.44,-35.01,-2.99,-0.01,-0.87,0.50
10.06,81.41,-43.55,-3.19,-0.00,-0.96,0.30
10.47,81.41,-51.50,-3.30,-0.01,-1.00,0.14
10.88,81.41,-58.59,-3.46,0.00,-1.01,0.09
11.30,81.46,-64.54,-3.47,-0.00,-1.02,0.09
11.69,81.46,-69.16,-3.22,0.00,-1.01,0.09
12.10,81.42,-72.79,-2.86,0.00,-1.01,0.09
12.52,81.42,-75.50,-2.44,-0.00,-1.01,0.09
12.94,81.45,-74.83,-1.05,-0.01,-1.02,0.13
13.33,81.45,-57.27,1.17,0.00,-0.49,0.85
13.72,81.45,-40.88,1.66,-0.00,-0.09,0.98
14.14,81.44,-29.45,1.90,-0.01,-0.00,1.00
14.54,81.44,-21.46,1.95,-0.01,-0.00,1.00
14.94,81.45,-15.86,1.86,-0.01,-0.00,1.00
0.39,71.55,-1.57,0.90,-0.01,-0.01,1.00
0.76,71.63,-2.51,1.48,-0.01,-0.01,1.00
1.08,71.67,-2.93,1.74,-0.01,-0.01,1.00
1.38,71.70,-3.12,1.88,-0.01,-0.01,1.00
1.68,71.71,-3.04,1.87,-0.01,-0.01,1.00
1.98,71.73,-3.05,1.93,-0.00,-0.01,1.00
2.35,71.74,-2.85,1.84,-0.01,-0.01,1.00
2.75,71.76,-2.68,1.81,-0.01,-0.01,1.00
3.12,71.75,-2.38,1.64,-0.01,-0.01,1.00
3.50,71.77,-2.16,1.54,-0.01,-0.01,1.00
3.91,71.80,-1.88,1.36,-0.00,-0.01,1.00
4.31,71.78,-1.69,1.24,-0.01,-0.01,1.00
4.69,71.79,-1.49,1.11,-0.01,-0.01,1.00
5.06,71.79,-1.27,0.97,-0.01,-0.01,1.00
5.45,71.82,-1.11,0.83,-0.00,-0.01,1.00
5.85,71.80,-1.04,0.79,-0.00,-0.01,1.00
6.24,71.84,-0.99,0.78,-0.01,-0.01,1.00
6.62,71.85,-0.90,0.71,-0.01,-0.01,1.00
6.98,71.87,-0.77,0.61,-0.01,-0.01,1.00
7.37,71.87,-0.68,0.54,-0.01,-0.01,1.00
7.75,71.87,-0.62,0.50,-0.01,-0.01,1.00
8.12,71.88,-0.52,0.42,-0.01,-0.01,1.00
8.50,71.90,-0.53,0.43,-0.01,-0.01,1.00
8.86,71.90,-0.50,0.39,-0.00,-0.01,1.00
9.23,71.91,-0.55,0.45,-0.01,-0.01,1.00
9.61,71.92,-0.53,0.45,-0.01,-0.01,1.00
9.98,71.91,-0.51,0.43,-0.01,-0.01,1.00
10.37,71.92,-0.50,0.42,-0.01,-0.01,1.00
10.77,71.96,-0.49,0.42,-0.01,-0.01,1.00
11.14,71.97,-1.77,2.69,0.01,0.03,1.05
11.51,71.98,-13.56,-0.30,-0.02,-0.43,0.89
11.89,71.99,-18.88,-2.21,-0.00,-0.65,0.76
12.25,72.00,-31.76,-5.91,-0.00,-0.83,0.57
12.61,72.02,-43.78,-9.59,-0.00,-0.88,0.50
13.00,72.01,-53.91,-12.10,-0.00,-0.88,0.49
13.38,72.05,-61.94,-13.19,-0.00,-0.90,0.45
13.77,72.04,-67.47,-13.07,-0.00,-0.90,0.45
14.14,72.05,-70.94,-12.38,-0.00,-0.90,0.44
14.51,72.05,-72.22,-11.19,-0.00,-0.89,0.48
14.90,72.08,-67.33,-8.75,-0.00,-0.87,0.48
15.27,72.07,-49.64,-13.41,-0.01,-0.18,0.98
15.64,72.07,-34.20,-2.10,-0.01,-0.01,1.00
16.01,72.06,-30.68,-1.31,-0.00,-0.01,1.00
16.39,72.06,-27.28,-0.53,-0.01,-0.01,1.00
16.77,72.08,-23.90,0.11,-0.01,-0.01,1.00
17.14,72.10,-20.85,0.70,-0.01,-0.01,1.00
17.53,72.08,-17.92,1.09,-0.01,-0.01,1.00
